LAMMPS data file via write_data, version 15 Apr 2020, timestep = 0

3072 atoms
2 atom types

0.0000000000000000e+00 3.0140194000000001e+01 xlo xhi
0.0000000000000000e+00 2.8340465999999999e+01 ylo yhi
0.0000000000000000e+00 2.7411445000000001e+01 zlo zhi
1.0259107000000000e+01 1.0259107000000000e+01 7.1968540000000001e+00 xy xz yz

Masses

1 16
2 2

Atoms # atomic

1 1 7.4700000000000015e+00 5.1799999999999997e+00 4.0099999999999998e+00 0 0 0
2 2 6.6600000000000001e+00 4.7999999999999998e+00 3.6700000000000004e+00 0 0 0
3 2 7.2100000000000026e+00 6.0099999999999998e+00 4.3899999999999997e+00 0 0 0
4 1 9.9600000000000009e+00 6.9700000000000006e+00 1.0809998999999999e+01 0 0 0
5 2 1.0510000000000002e+01 6.5700000000000003e+00 1.1480000000000000e+01 0 0 0
6 2 9.7900000000000027e+00 7.8600000000000003e+00 1.1139999000000000e+01 0 0 0
7 1 9.9599999999999991e+00 1.2259998999999999e+01 3.9600000000000000e+00 0 0 0
8 2 1.0510000000000000e+01 1.1849999000000000e+01 4.6299999999999999e+00 0 0 0
9 2 9.7899999999999991e+00 1.3139999999999999e+01 4.2900000000000000e+00 0 0 0
10 1 1.2539999000000002e+01 1.4099999000000000e+01 1.0930000000000000e+01 0 0 0
11 2 1.3240000000000000e+01 1.4329999999999998e+01 1.0310000000000000e+01 0 0 0
12 2 1.1910000000000000e+01 1.3609999999999999e+01 1.0400000000000000e+01 0 0 0
13 1 1.4930000000000000e+01 5.1799999999999997e+00 3.9600000000000000e+00 0 0 0
14 2 1.5480000000000002e+01 4.7699999999999996e+00 4.6299999999999999e+00 0 0 0
15 2 1.4759998999999999e+01 6.0599999999999996e+00 4.2900000000000000e+00 0 0 0
16 1 1.7450001000000000e+01 7.0000000000000000e+00 1.0850000000000000e+01 0 0 0
17 2 1.7910000000000004e+01 6.6600000000000001e+00 1.1619999000000000e+01 0 0 0
18 2 1.8150002000000004e+01 7.3400000000000007e+00 1.0290001000000000e+01 0 0 0
19 1 1.7450001000000000e+01 1.2289999999999999e+01 4.0000000000000000e+00 0 0 0
20 2 1.8150002000000001e+01 1.2619999999999999e+01 3.4399999999999999e+00 0 0 0
21 2 1.7910000000000007e+01 1.1940001000000001e+01 4.7699999999999996e+00 0 0 0
22 1 2.0050001000000002e+01 1.4029999999999999e+01 1.0869999999999999e+01 0 0 0
23 2 2.0820000000000007e+01 1.4229999999999999e+01 1.0340000000000000e+01 0 0 0
24 2 1.9850000000000009e+01 1.4839999999999998e+01 1.1330000000000000e+01 0 0 0
25 1 1.1650000000000000e+01 8.1400000000000006e+00 6.2599999999999998e+00 0 0 0
26 2 1.0950001000000000e+01 8.5999999999999996e+00 5.7999999999999998e+00 0 0 0
27 2 1.1189999999999998e+01 7.4800000000000004e+00 6.7900000000000000e+00 0 0 0
28 1 1.4180000000000000e+01 9.9299989999999987e+00 1.3179999000000000e+01 0 0 0
29 2 1.4370000999999998e+01 9.2799999999999976e+00 1.2510000000000000e+01 0 0 0
30 2 1.3410000000000004e+01 1.0389999999999999e+01 1.2839999999999998e+01 0 0 0
31 1 1.4180000000000000e+01 1.5219998999999994e+01 6.3200000000000003e+00 0 0 0
32 2 1.4370001000000002e+01 1.4559998999999999e+01 5.6500000000000004e+00 0 0 0
33 2 1.3410000000000000e+01 1.5679998999999999e+01 5.9899999999999993e+00 0 0 0
34 1 1.6779999000000000e+01 1.7019999999999996e+01 1.3120001000000000e+01 0 0 0
35 2 1.6079999999999998e+01 1.7480000000000000e+01 1.2650000000000000e+01 0 0 0
36 2 1.6320000000000000e+01 1.6360001000000004e+01 1.3649999999999999e+01 0 0 0
37 1 1.9180000000000000e+01 8.1400000000000006e+00 6.2599999999999998e+00 0 0 0
38 2 1.8479999999999997e+01 8.5999999999999996e+00 5.7999999999999998e+00 0 0 0
39 2 1.8729999999999997e+01 7.4800000000000004e+00 6.7900000000000000e+00 0 0 0
40 1 2.1709998999999996e+01 9.9299989999999987e+00 1.3179999000000000e+01 0 0 0
41 2 2.1910000000000000e+01 9.2799999999999976e+00 1.2510000000000000e+01 0 0 0
42 2 2.0940000999999999e+01 1.0389999999999999e+01 1.2839999999999998e+01 0 0 0
43 1 2.1709999000000003e+01 1.5219998999999994e+01 6.3200000000000003e+00 0 0 0
44 2 2.0940000999999999e+01 1.5679998999999999e+01 5.9899999999999993e+00 0 0 0
45 2 2.1910000000000000e+01 1.4559998999999999e+01 5.6500000000000004e+00 0 0 0
46 1 2.4309999000000001e+01 1.7019999999999996e+01 1.3120001000000000e+01 0 0 0
47 2 2.3610001000000000e+01 1.7480000000000000e+01 1.2650000000000000e+01 0 0 0
48 2 2.3859999000000006e+01 1.6360001000000004e+01 1.3649999999999999e+01 0 0 0
49 1 5.2800000000000002e+00 3.7399999999999993e+00 2.8399999999999999e+00 0 0 0
50 2 5.4799999999999986e+00 2.9300000000000002e+00 2.3700000000000001e+00 0 0 0
51 2 4.5099999999999998e+00 3.5300000000000002e+00 3.3700000000000001e+00 0 0 0
52 1 7.7999999999999989e+00 5.4199999999999999e+00 9.7200000000000006e+00 0 0 0
53 2 7.3499999999999996e+00 5.8699999999999983e+00 9.0000000000000000e+00 0 0 0
54 2 8.4800000000000040e+00 6.0400000000000000e+00 1.0000000000000000e+01 0 0 0
55 1 7.7500000000000009e+00 1.0789999999999999e+01 2.8399999999999999e+00 0 0 0
56 2 8.0199999999999996e+00 9.9600000000000009e+00 2.4600000000000000e+00 0 0 0
